id|contactId|name|companyName|email|assignedTo
UQSaRUyWQq4dD74FQXAg|FP5Ru5UV2qYvbpkPl4pS||||
SBDxfeK1Icj8H7rz8exY|EJHY9xxHhwSakSV8cJ7O||||
EE18eDCbo6GxMbCJpZHc|6tD5Z2NJPNLRfWFbnSaT||||
nna4jWsF2DuzenRb9DUY|kMq2Mcr7AUfZzuomEJEA||||
MFUPEArysqmiMVDYCxL7|NNIjcnD1w0WPtkCNAoDA||||
C39ZFS5WIpNdNZSyaYFL|4IlCY89ozXR9HImW6rQI||||
DVdxCs7Tn1gOQV3B51mF|VJkb0oUXEI59V5xPGo98||||
1rmhoDGaV4okoqHb97gr|ZY18WXfIzYZROsHlWzHA||||
vtqaKRRiVR4bTL6HcDKQ|pvmcuikSOJjkGFGpr0Ce||||
Bk4UCu9seYDjwTpivDWH|1Y92hNbfDtCGslcH0gaj||||
8XsaHUqSoEx0C9HfJZaE|1Q7gTU4d3Ihv19KIeGBu||||
qUGTREqxufVUF9rNPCO1|C3O0fnjiymJLbKqWcjKz||||
x8DdlIjH02cSm9oIgh4P|0di4lLnz70pR1Kb9qEdd||||
MqBYPswaexnEOsGK9pmz|ryLPU0ZWEguj29I5ptBO||||
lytF97DSW68Dq5l6SlW7|l79k0OdNnUHziAX0KC2u||||
gmhNX6ZeHIPhZTNpPOdO|TU6DCyejA9VdiPo2HdDi||||
JoTq0hfUoys8m9DtTYE5|4GmYyO309kOXhUGEii9G||||
SHNDBofFm56xoMsocvU3|fzERxVm8yLivrjVjV78A||||
AvAnIpnM3rE7W4AyC5n8|FLFw1gZlxOjavQ0h43LO||||
0guGNGJ6qsDFnny8ZPSo|EOPNGzHUiDvYYSUoGNsy||||
WN64tHjbCb2VjgIQ2LgY|wo71P60VKzLlVG8qWDgn||||
rPAJLuIsxJvr7bIqtF4U|4YPmwk1Vbk3RECMovwmV||||
HGuG939NBwCFkylCeiMo|yLH39CZXf1cVnTooFdUb||||
ivbGZS2QTJFvLMmDhvsF|sFoJbHk7WgzIqjBXWHjm||||
7h20oW5XFGsonYGDJCXH|P0Uo996XYF2uX0nz1cE0||||
s4hWnlIpMKERQzyngFgy|O3I9p4Kj4W0UypyqelGA||||
Qo5BMqiKtY5pRafq6S97|gsy4KuRAvAxp1VGFpAIo||||
adB6LRC1WAQrJfBfGCHH|kRY5U2BMRLZ55j6xJZ7t||||
aOLyjgBrD0lbHJP5eMOb|znN4sUGuH8wgcJIwhoWa||||
RmD3NzYxx8YaQlSGkdGF|WremxRVec5QYV9i7Mjvq||||
iGVrmz7tfr4ZJAmD4ul4|EBmkYaPVRi05IH3Rx9gR||||
6YgAbXnfWJ0xXwoqGcSA|L5SCiTdmDvdw7ak3N6Nz||||
0QGKmFkcZHBGyyu3yxBj|2BSJy0wYUfrsKXF0qQrR||||
nO8cCvOjYqA8qOwRZ9k7|KgLd4ec6K1REKLl3RdwR||||
1TQbEvwzudRLW297Exrk|k2vGx17dqdk0XYAYZM8M||||
L8Pnz63aP54KV1V8USvB|Cj2ERD4vJVjcUBUaXIS8||||
tQKBrtnAOc80DIphUejH|gTarbh2ILi9tyR65FANW||||
QM7n5YmHcBWDQPDPr1o1|NAtFNMkQea1m8xCaWOSt||||
BGlMPzRbRNh4lIFK8w5y|GdubNUVxPL7BQKU1oe8Q||||
qtiGmhUrOGQiteAV5DgE|uqOCLEdFvlvmV6wzIPht||||
Abtg9JVmBj7S3VmTJBhb|UkKNPWxLWf1gRnJYqkFH||||
wg64WAj9YdYZjlD8ZTDX|s3c7ouh2uv2jphVosWZm||||
FSHqNfiLSpSPbzW2CXa1|xs7volrU9QFeroEY2ule||||
3PXgMMG1lBeWlssb5svL|awclHXHdqmkjgxYUvN5x||||
9jnxpdVUmWCLIKegd2UR|Gw6pwjfbUvFUz1e9onOw||||
TeOIWYTPLY5KuP0YK79r|f64ac9BzxfCcNwELoxzv||||
60iWWqc68hdCuYPn7s8X|iBypqHquYp0o3yWyJoVJ||||
fqFbGAPW56tO05yzmToa|U2i4MesPWMKcRnjzLRqa||||
WyIyq5hsH1PJO28vWc3J|IoBaB7LKNWU6AIyvdoaV||||
